topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
aligned,anp,decoder_det_full,200,5,200,7413126,111.1,33.91,182.0,57.1,14.15596,0.938984,13.730577,8.473718,-8.09,15.125882,14.593408,13.882997,13.701998,13.596596,13.987379,14.203461,1.048422,1.012502,1.038768,0.773225,0.696834,0.797275,1.205862,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,300,5,300,7413126,169.36,23.55,192.8,26.2,13.974328,1.07111,13.730577,8.473718,-4.64,15.396694,14.838496,14.404102,13.748655,13.212794,13.48447,12.735085,1.541035,0.847099,0.671867,0.560509,1.124309,1.110852,1.642096,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,all,5,420,7413126,207.66,22.0,171.6,17.9,12.540002,1.419311,13.730577,8.473718,22.65,14.152354,13.844047,13.165193,12.472599,11.656039,11.166451,11.323335,1.920412,1.765683,1.531719,1.366079,1.216051,1.049131,1.086103,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,10,5,10,3625606,20.29,7.28,154.8,50.9,16.448796,2.369823,13.730577,8.473718,-51.71,20.74856,18.32857,16.263529,14.83585,14.629802,15.013473,15.32179,3.419792,3.269679,2.746496,2.344712,1.832386,1.525782,1.449914,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,20,5,20,3625606,16.87,4.15,121.8,26.2,16.817405,1.651432,13.730577,8.473718,-58.72,22.953999,20.200785,17.356522,15.491585,14.225299,13.835702,13.657947,2.162221,1.967307,1.752922,1.535502,1.408946,1.350561,1.382564,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,50,5,50,3625606,31.05,5.63,167.8,30.6,15.260991,1.399626,13.730577,8.473718,-29.11,21.745516,18.75895,15.790527,13.817222,12.767495,12.359049,11.588181,1.208884,1.491672,1.367096,1.396361,1.245322,1.415077,1.67297,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,100,5,100,3625606,102.89,65.91,390.2,250.2,13.56597,2.072925,13.730577,8.473718,3.13,19.266122,16.752003,14.210941,12.243408,11.123449,10.88631,10.479559,2.112916,2.206188,1.891622,1.678737,2.092625,2.206394,2.321995,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,200,5,200,3625606,144.65,159.87,344.6,379.7,12.931109,2.611379,13.730577,8.473718,15.21,19.369598,16.191599,13.476157,11.3094,10.465237,10.047371,9.658403,3.629653,3.148908,2.68618,2.173357,2.074915,2.27704,2.289598,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,300,5,300,3625606,261.73,122.58,444.8,209.4,10.524436,1.366192,13.730577,8.473718,60.99,16.210285,13.420539,11.13962,9.271057,8.221526,7.738038,7.669985,1.751229,1.486152,1.371715,1.155077,1.229017,1.220116,1.350039,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_lat_last,all,5,420,3625606,466.67,161.4,598.4,208.4,8.970764,0.933027,13.730577,8.473718,90.54,13.370227,11.565177,9.664971,7.934759,7.058947,6.68511,6.516154,1.3738,1.10847,0.986614,0.959927,0.787104,0.608795,0.706479,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
