traj_id,object_x,object_y,sensor_2,sensor_4,sensor_5,sensor_6
0.0,13.636363636363626,5.943198820093725,-22.216938702162917,22.89686382653933,23.29339524220088,-23.46900460133946
0.0,15.454545454545451,6.800400980117372,-22.226143324257496,23.012852750423285,23.387465153328854,-23.689937678447908
0.0,17.272727272727266,7.598085594771179,-22.284964127474986,23.12545011183288,23.477318444255108,-23.950773492639268
0.0,19.090909090909093,8.332874209019486,-22.414115371601135,23.234846524856025,23.563097185415916,-24.271611705757145
0.0,20.909090909090907,9.001654752943455,-22.664208076778152,23.34137330826602,23.644502549551905,-24.697375171956185
0.0,22.72727272727272,9.601594722374298,-23.17992875004036,23.4445468126869,23.72193179724757,-25.37274287590523
0.0,24.545454545454547,10.130153175474115,18.05224518863457,23.54438289472244,23.79523260362948,-30.530560792978285
0.0,26.36363636363636,10.58509149445496,25.33623855634029,23.641352106617884,23.86470619101964,11.974590624110558
0.0,28.181818181818173,10.964482866856816,22.64156424961243,23.73576895289121,23.930688142984152,25.15626965997268
0.0,30.0,11.266720446228032,22.156454949507022,23.82692691582068,23.993341382833584,24.721102400753782
0.0,31.818181818181813,11.490524157645211,21.856638191384548,23.91574093401687,24.052490727709497,24.44329347305915
0.0,33.636363636363626,11.634946119248845,21.65926837680492,24.001596055402395,24.108327493292144,24.24032886116209
0.0,35.45454545454545,11.69937465683276,21.53319147122995,24.085610221234344,24.16230364100593,24.07974361472324
0.0,37.27272727272727,11.683536894484291,21.46153458191956,24.166800070996565,24.21346656787985,23.948858750672613
0.0,39.09090909090909,11.587499910302952,21.432566632152216,24.245927835559208,24.26111095824316,23.83689962526005
0.0,40.90909090909091,11.411670452302758,21.437740423026906,24.323456096639053,24.308224408971192,23.739053914958767
0.0,42.72727272727272,11.156793215701448,21.47088710491457,24.39889498946436,24.35258989684636,23.652951845953176
0.0,44.54545454545453,10.823947688892886,21.52691540275673,24.472783153957028,24.39567415784553,23.575328084128945
0.0,46.363636363636346,10.414543581460894,21.601607814989222,24.5446879977516,24.43614834023022,23.50533949097638
0.0,48.18181818181819,9.930314853598476,21.69130959123148,24.61549970825865,24.477160682905712,23.442002273475943
0.0,50.0,9.373312372219733,21.79260868081962,24.68474160026328,24.516088882141872,23.384338493126076
0.0,51.81818181818181,8.745895224868192,21.90298490612193,24.753576103680548,24.553198267348822,23.332754924679826
0.0,53.636363636363626,8.050720728210123,22.02066845300616,24.822279540413888,24.5911142597086,23.28618085058448
0.0,55.45454545454544,7.290733173429995,22.14287926167985,24.892103355338428,24.62691453946477,23.244856549039525
0.0,57.27272727272728,6.46915135619507,22.26860478179249,24.962251125182632,24.663303640873977,23.208656704903884
0.0,59.09090909090909,5.589454944003879,22.396438816462748,25.032341989088856,24.698557667045687,23.177339800068538
0.0,60.90909090909091,4.655369738657074,22.5258302667982,25.102389447003645,24.73392309646672,23.15104086170402
0.0,62.72727272727272,3.67085189626922,22.655684451586147,25.17393178077468,24.769334536979315,23.129059771379584
0.0,64.54545454545453,2.640071171654732,22.78507262201651,25.246037684968016,24.80503228616648,23.111962282530676
0.0,66.36363636363635,1.5673932580534975,22.913734777346225,25.31980827749115,24.841144434950948,23.0999557229042
0.0,68.18181818181819,0.4573612969932341,23.04136594718712,25.39351522317548,24.87762419903437,23.09331649995181
0.0,70.0,-0.6853233633995464,23.16693617689304,25.4665493409066,24.914727253507387,23.09196065733944
0.0,71.81818181818181,-1.8558210801454476,23.29079197724877,25.538025334663303,24.952614285685677,23.09596360748996
0.0,73.63636363636363,-3.0491744128817606,23.41271505251791,25.60917134759091,24.991518130288988,23.105567749324724
0.0,75.45454545454544,-4.260329120242577,23.531664782558643,25.68131177849625,25.03089353131564,23.1201259480557
0.0,77.27272727272728,-5.484155566222783,23.64802390468767,25.7552664707722,25.071981465044395,23.140304580800397
0.0,79.0909090909091,-6.715470445862862,23.7617156269181,25.82859942021203,25.11397789181796,23.16590310750366
0.0,80.9090909090909,-7.949058738239519,23.872118202271167,25.8986301657265,25.156574461019485,23.196188484224628
0.0,82.72727272727272,-9.179695793783516,23.97965935127605,25.97538107897489,25.20401840968364,23.2315826813788
0.0,84.54545454545453,-10.402169462378096,24.08360153262192,26.05231323019389,25.25285786103189,23.271564410121044
0.0,86.36363636363635,-11.61130216851813,24.184708146889548,26.12579701970202,25.30245447144842,23.315951193257455
0.0,88.18181818181819,-12.80197284003448,24.28162232827836,26.195126351914496,25.350981473636807,23.364455412216444
0.0,90.0,-13.969138597508186,24.374928727533515,26.265561804399027,25.40460238851776,23.416756599353715
1.0,-90.0,10.514520880919596,-25.44290196206336,-21.23136319624415,-24.24840520804045,-25.73564188362189
1.0,-88.18181818181819,8.690732745637447,-25.397408067215792,-21.013749439675337,-24.12538985440757,-25.650281344272656
1.0,-86.36363636363636,6.867862638758433,-25.35833423381702,-20.79067005648184,-23.997752733447623,-25.56373118125088
1.0,-84.54545454545455,5.061441335756179,-25.322999915527436,-20.563074560926232,-23.86584746090569,-25.47627295916581
1.0,-82.72727272727273,3.2868594689975907,-25.287818413234262,-20.332770533769377,-23.73095210183824,-25.392128113825294
1.0,-80.9090909090909,1.5592364002123356,-25.254563964060296,-20.101230142287505,-23.59295360769242,-25.30434970555764
1.0,-79.0909090909091,-0.1067085958234521,-25.22272723908236,-19.870912225419463,-23.453479122766804,-25.21732806423043
1.0,-77.27272727272728,-1.6967817388798423,-25.192507988478173,-19.64270203245612,-23.312303266180734,-25.133372131987564
1.0,-75.45454545454545,-3.1974356736745357,-25.1637823629797,-19.41923704022722,-23.17063001247045,-25.048956971696192
1.0,-73.63636363636364,-4.5958848927613705,-25.134571482480485,-19.20164317408082,-23.028841376360077,-24.96453469605543
1.0,-71.81818181818181,-5.880214668507891,-25.104900280583056,-18.995582438970743,-22.887309586898063,-24.8806304607942
1.0,-70.0,-7.039482566065921,-25.07421320347305,-18.798639997393508,-22.748221673797588,-24.79742346139178
1.0,-68.18181818181819,-8.063811672449319,-25.04121847186496,-18.60956248213145,-22.61103123076569,-24.71460189815279
1.0,-66.36363636363636,-8.944474747410815,-25.005864844009416,-18.43843033720447,-22.477995883434023,-24.632994797797203
1.0,-64.54545454545455,-9.673968579156266,-24.96860217936748,-18.27629124325041,-22.34986065087161,-24.55201517471274
1.0,-62.72727272727273,-10.246077911388785,-24.92787372440383,-18.13105848914776,-22.229139207572302,-24.47300365817144
1.0,-60.90909090909091,-10.655928397026962,-24.88381336768825,-18.006010492914395,-22.117413852697283,-24.3954057282162
1.0,-59.09090909090909,-10.90002812743388,-24.8349975855489,-17.90363797321867,-22.0161811690358,-24.31929585063068
1.0,-57.27272727272727,-10.976297383329594,-24.78372082295391,-17.8392215947942,-21.9286655017624,-24.245337291617272
1.0,-55.45454545454545,-10.88408635391059,-24.725146006275867,-17.83740927211725,-21.85700217502967,-24.17387400129842
1.0,-53.63636363636364,-10.624180673210084,-24.66440865894248,-17.958307690402133,-21.804932932784254,-24.105359184551787
