traj_id,object_x,object_y,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6
0.0,-15.454545454545453,-12.334788536151091,-23.072368881447414,-23.717995729225734,24.22044938500988,20.799844578366734,21.4984556841827,-22.23566246399925
0.0,-13.63636363636364,-11.136227570392032,-22.949667997449453,-23.615024470496632,23.959396118335054,20.922342226922602,21.567878303645337,-22.216313979767477
0.0,-11.818181818181827,-9.921216666192246,-22.824054569233475,-23.50922613382171,23.73208039336233,21.048815519180785,21.661311208070465,-22.20838636690077
0.0,-10.0,-8.694901791810723,-22.69582558030912,-23.400750757925184,23.5313385798801,21.181451904082646,21.770181100414113,-22.21232179365474
0.0,-8.181818181818187,-7.462476791514478,-22.564136119611305,-23.290803682755566,23.354298812586094,21.316767240544888,21.889177682657827,-22.228206723845815
0.0,-6.36363636363636,-6.22916138795059,-22.428936783764343,-23.179834489925522,23.198482625271744,21.452900349453486,22.013365656494845,-22.256451015225164
0.0,-4.545454545454547,-5.000179074915014,-22.29158601310478,-23.068827565539056,23.062108702715364,21.59149294158842,22.139752393473685,-22.2971764658286
0.0,-2.7272727272727337,-3.7807349941491797,-22.151432607410634,-22.957510804877217,22.94178661605642,21.729877937196683,22.267255930379534,-22.351061459919023
0.0,-0.9090909090909065,-2.5759938898636525,-22.007679087227793,-22.847060468797167,22.838223262735006,21.866932945723164,22.39425272215145,-22.418293062883244
0.0,0.9090909090909065,-1.3910582343585283,-21.862660702117314,-22.738022432364854,22.75014841266569,22.003589131152253,22.51839214664773,-22.49820588575743
0.0,2.7272727272727195,-0.2309466173856327,-21.714390383096823,-22.632480257858393,22.677356954887202,22.13867733728889,22.640434633370795,-22.591512245722672
0.0,4.545454545454547,0.8994275092191675,-21.56245550386329,-22.53284117585313,22.62038416355817,22.271199854557395,22.759005915631604,-22.698352042366828
0.0,6.36363636363636,1.9952766416102534,-21.409776144997608,-22.440361337076986,22.57803878617641,22.402607614343577,22.874298075686067,-22.81969228974979
0.0,8.181818181818173,3.0519595005756965,-21.253188749787718,-22.358301213214908,22.549890473063012,22.530514042477172,22.985761191786157,-22.95670490066298
0.0,10.0,4.065000688871519,-21.094573506060005,-22.290473188891646,22.535298679998878,22.655730693473586,23.092640951794635,-23.107485642406758
0.0,11.818181818181813,5.03010964599161,-20.933379222692174,-22.240409291790534,22.53378374330194,22.778060122005318,23.195302790149178,-23.277767664882617
0.0,13.636363636363626,5.943198820093725,-20.769676503210043,-22.216938702162913,22.543787579961588,22.89686382653933,23.293395242200877,-23.46900460133946
0.0,15.454545454545453,6.800400980117372,-20.602795161937415,-22.226143324257496,22.56547825467113,23.012852750423285,23.387465153328858,-23.689937678447908
0.0,17.272727272727266,7.598085594771179,-20.433762388599195,-22.284964127474986,22.59694227187593,23.125450111832876,23.477318444255108,-23.950773492639268
0.0,19.090909090909093,8.332874209019486,-20.26013271528214,-22.414115371601138,22.63771898723023,23.234846524856025,23.563097185415913,-24.271611705757145
0.0,20.909090909090907,9.001654752943455,-20.086034755067438,-22.664208076778152,22.686547116252964,23.34137330826602,23.644502549551902,-24.697375171956182
0.0,22.72727272727272,9.601594722374298,-19.906054375635804,-23.17992875004036,22.742428322531826,23.4445468126869,23.72193179724757,-25.37274287590523
0.0,24.545454545454547,10.130153175474117,-19.72277481006715,18.05224518863457,22.805278169574905,23.54438289472244,23.79523260362948,-30.530560792978285
0.0,26.36363636363636,10.58509149445496,-19.53805464886671,25.336238556340295,22.872928314254644,23.641352106617884,23.864706191019636,11.974590624110558
0.0,28.181818181818173,10.964482866856816,-19.347883871608005,22.64156424961243,22.945942218736732,23.73576895289121,23.930688142984152,25.15626965997268
0.0,30.0,11.266720446228032,-19.154379220172395,22.156454949507022,23.0223375959758,23.82692691582068,23.993341382833584,24.721102400753786
0.0,31.818181818181813,11.490524157645211,-18.956747879616113,21.856638191384548,23.10234997426851,23.91574093401687,24.052490727709497,24.44329347305915
0.0,33.636363636363626,11.634946119248845,-18.757938464574305,21.659268376804917,23.18494262835659,24.001596055402395,24.108327493292144,24.24032886116209
0.0,35.45454545454545,11.69937465683276,-18.558472069575025,21.53319147122995,23.270010762297378,24.085610221234344,24.162303641005934,24.079743614723238
0.0,37.272727272727266,11.683536894484291,-18.363734866715124,21.461534581919558,23.356500311326638,24.166800070996565,24.213466567879852,23.948858750672613
0.0,39.09090909090909,11.587499910302952,-18.178524955090435,21.432566632152216,23.44418987625791,24.245927835559208,24.26111095824316,23.836899625260052
0.0,40.90909090909091,11.411670452302758,-18.011562892528485,21.437740423026902,23.533343565107653,24.323456096639053,24.308224408971192,23.739053914958767
0.0,42.72727272727272,11.156793215701448,-17.882267134431313,21.470887104914574,23.622963212358464,24.39889498946436,24.35258989684636,23.652951845953176
0.0,44.54545454545453,10.823947688892886,-17.821456374739938,21.52691540275673,23.713393363722727,24.472783153957028,24.39567415784553,23.575328084128945
0.0,46.363636363636346,10.414543581460894,-17.89791730333851,21.601607814989222,23.80368404775658,24.544687997751602,24.43614834023022,23.50533949097638
0.0,48.18181818181819,9.930314853598475,-18.30156091297628,21.69130959123148,23.89422743189977,24.61549970825865,24.477160682905712,23.442002273475943
0.0,50.0,9.373312372219733,-31.872905614012033,21.79260868081962,23.984498900403917,24.68474160026328,24.516088882141872,23.384338493126073
0.0,51.81818181818181,8.745895224868192,17.925309848841394,21.90298490612193,24.07445735643546,24.753576103680548,24.553198267348822,23.332754924679822
0.0,53.636363636363626,8.050720728210123,17.199480931496698,22.02066845300616,24.164492019681994,24.822279540413888,24.5911142597086,23.286180850584476
0.0,55.45454545454544,7.290733173429995,16.882965809303165,22.14287926167985,24.253522567943627,24.892103355338428,24.626914539464774,23.244856549039525
0.0,57.27272727272728,6.46915135619507,16.793090646243602,22.26860478179249,24.34267699388915,24.962251125182632,24.663303640873977,23.208656704903884
0.0,59.09090909090909,5.589454944003879,16.871450002482693,22.396438816462748,24.430387899287943,25.032341989088856,24.698557667045687,23.177339800068538
0.0,60.90909090909091,4.655369738657074,17.046819507723118,22.525830266798202,24.518232519501836,25.102389447003645,24.733923096466718,23.15104086170402
0.0,62.72727272727272,3.6708518962692196,17.30291632986586,22.655684451586147,24.60464817823727,25.17393178077468,24.769334536979315,23.129059771379584
0.0,64.54545454545453,2.640071171654732,17.587811487212072,22.78507262201651,24.69032533696731,25.246037684968016,24.80503228616648,23.111962282530673
0.0,66.36363636363635,1.5673932580534977,17.90596520742484,22.913734777346225,24.775444187893093,25.31980827749115,24.841144434950948,23.0999557229042
0.0,68.18181818181819,0.45736129699323413,18.223725316506883,23.041365947187117,24.859016024671018,25.393515223175477,24.877624199034372,23.09331649995181
0.0,70.0,-0.6853233633995464,18.541194739431585,23.16693617689304,24.94206961585175,25.466549340906596,24.914727253507387,23.09196065733944
0.0,71.81818181818181,-1.8558210801454473,18.854986887838457,23.29079197724877,25.023523477350697,25.538025334663303,24.952614285685673,23.095963607489956
0.0,73.63636363636363,-3.0491744128817606,19.15610043505739,23.41271505251791,25.104139169885066,25.60917134759091,24.991518130288988,23.105567749324724
0.0,75.45454545454544,-4.260329120242577,19.446311316757154,23.531664782558643,25.18390322504328,25.68131177849625,25.030893531315638,23.1201259480557
0.0,77.27272727272728,-5.484155566222783,19.726011494001607,23.64802390468767,25.262823194848103,25.7552664707722,25.071981465044395,23.140304580800393
0.0,79.0909090909091,-6.715470445862862,19.99207337539425,23.7617156269181,25.34156746409387,25.82859942021203,25.11397789181796,23.16590310750366
0.0,80.9090909090909,-7.949058738239519,20.24587445784494,23.872118202271167,25.41954015944316,25.8986301657265,25.156574461019485,23.196188484224628
0.0,82.72727272727272,-9.179695793783516,20.489516715456794,23.979659351276055,25.49664288500253,25.97538107897489,25.20401840968364,23.231582681378796
