epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
64,-0.829176,-0.829176,64.038829,-0.261639,-0.261639,88.711668,9.90e-05,4.3
43,-0.608721,-0.609813,85.877149,-0.386249,-0.386314,102.409660,9.95e-05,6.1
41,-1.266197,-1.266935,35.284699,-1.638744,-1.639012,14.658504,9.96e-05,5.9
65,-0.833356,-0.833356,63.541665,-0.242565,-0.242565,89.387680,9.90e-05,4.4
44,-0.614891,-0.616009,85.126849,-0.378716,-0.378791,104.379163,9.95e-05,5.8
42,-1.280768,-1.281568,34.276557,-1.575918,-1.576078,18.112530,9.96e-05,5.7
66,-0.837504,-0.837504,63.406657,-0.289505,-0.289505,87.904069,9.89e-05,4.6
45,-0.617665,-0.618917,84.969404,-0.360753,-0.360908,102.241681,9.95e-05,5.9
67,-0.841877,-0.841877,62.925963,-0.218580,-0.218580,88.774063,9.89e-05,4.4
43,-1.281685,-1.284792,34.182044,-1.589271,-1.589792,17.520877,9.95e-05,6.6
68,-0.847026,-0.847026,62.529162,-0.256315,-0.256315,87.944621,9.89e-05,4.2
46,-0.624969,-0.626304,84.265750,-0.339485,-0.339631,99.582093,9.95e-05,6.0
44,-1.290692,-1.291430,33.964940,-1.542886,-1.542953,22.088461,9.95e-05,6.2
69,-0.850353,-0.850353,62.365972,-0.148961,-0.148961,89.693641,9.88e-05,4.0
47,-0.631853,-0.633345,83.349358,-0.398062,-0.398208,100.373242,9.95e-05,6.0
70,-0.856010,-0.856010,61.747948,-0.180104,-0.180104,87.434446,9.88e-05,4.4
45,-1.296099,-1.296506,33.653894,-1.647129,-1.647192,17.089579,9.95e-05,5.8
48,-0.638019,-0.639668,82.711405,-0.401157,-0.401289,101.969209,9.94e-05,5.9
71,-0.855802,-0.855802,61.744283,-0.256404,-0.256404,86.737808,9.88e-05,4.1
46,-1.289315,-1.289738,34.145637,-1.630681,-1.630751,17.562053,9.95e-05,6.6
72,-0.862942,-0.862942,61.293734,-0.177762,-0.177762,88.461688,9.87e-05,4.1
