epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
33,373.070326,373.070326,169.039055,838.007118,838.007118,176.199448,9.89e-05,6.0
34,358.491931,358.491931,183.709191,456.959459,456.959459,190.464876,9.89e-05,6.2
35,225.527782,225.527782,194.844335,295.725513,295.725513,198.783883,9.88e-05,6.4
36,90.116635,90.116635,185.822573,8.532677,8.532677,154.498448,9.87e-05,6.4
37,158.645740,158.645740,181.189608,20.756874,20.756874,223.510010,9.87e-05,5.9
38,17.895535,17.895535,221.714487,16.143087,16.143087,225.384947,9.86e-05,6.8
39,17.196843,17.196843,219.255689,16.006155,16.006155,218.541370,9.85e-05,6.0
40,16.024646,16.024646,211.297908,19.300357,19.300357,210.095261,9.84e-05,6.1
41,31.455642,31.455642,204.826121,118.596405,118.596405,201.667300,9.84e-05,6.1
42,57.540322,57.540322,172.601235,5.008669,5.008669,144.838162,9.83e-05,6.6
43,20.584873,20.584873,137.853029,17.033235,17.033235,134.059716,9.82e-05,6.2
44,27.718673,27.718673,132.546715,4.274796,4.274796,132.490471,9.81e-05,6.1
45,9.555631,9.555631,130.737314,4.359049,4.359049,134.682050,9.80e-05,5.9
46,18.230963,18.230963,130.346578,17.290936,17.290936,134.878353,9.79e-05,6.0
47,40.223535,40.223535,131.881141,39.670447,39.670447,138.031212,9.78e-05,6.0
48,16.079256,16.079256,136.860537,4.082797,4.082797,130.672544,9.77e-05,7.3
49,4.035674,4.035674,128.477127,4.046762,4.046762,130.017572,9.76e-05,6.2
50,4.021928,4.021928,127.400261,4.071341,4.071341,129.761939,9.76e-05,6.6
51,4.008153,4.008153,126.888805,4.154418,4.154418,129.166887,9.75e-05,5.8
52,4.377278,4.377278,126.722223,4.702386,4.702386,128.829114,9.74e-05,5.8
53,8.601547,8.601547,128.657677,10.118429,10.118429,135.236164,9.73e-05,6.4
54,8.148847,8.148847,137.647859,10.582343,10.582343,142.121837,9.71e-05,6.2
55,7.524388,7.524388,142.915497,6.768054,6.768054,145.881214,9.70e-05,6.3
56,8.428056,8.428056,138.952703,4.545389,4.545389,132.524991,9.69e-05,6.4
57,94.005736,94.005736,141.386809,6.928806,6.928806,200.102993,9.68e-05,6.1
58,62.259086,62.259086,139.677098,10.738845,10.738845,140.553944,9.67e-05,6.0
59,4.953582,4.953582,130.172824,4.665407,4.665407,130.046923,9.66e-05,6.0
60,4.291716,4.291716,127.027927,4.518030,4.518030,128.879418,9.65e-05,6.7
61,4.279703,4.279703,125.838408,4.439014,4.439014,128.337064,9.64e-05,6.1
62,4.414588,4.414588,125.174197,4.237600,4.237600,127.888278,9.63e-05,6.2
63,4.493486,4.493486,124.938361,5.969426,5.969426,128.067056,9.61e-05,6.1
64,6.103236,6.103236,126.195661,4.465687,4.465687,127.258529,9.60e-05,6.1
65,9.464887,9.464887,125.271148,6.635102,6.635102,132.585325,9.59e-05,6.1
66,4.226469,4.226469,126.351134,3.842709,3.842709,127.240856,9.58e-05,6.1
67,3.879211,3.879211,124.148602,4.083533,4.083533,127.216674,9.56e-05,6.2
68,4.005604,4.005604,123.802910,4.318616,4.318616,127.290085,9.55e-05,6.0
69,3.994320,3.994320,123.631418,4.113888,4.113888,126.974939,9.54e-05,6.1
70,3.978671,3.978671,123.370058,4.037097,4.037097,126.977342,9.52e-05,6.8
71,3.968347,3.968347,123.062065,4.036357,4.036357,126.863999,9.51e-05,6.5
72,3.957207,3.957207,122.702460,4.147756,4.147756,126.763376,9.50e-05,6.0
73,3.947313,3.947313,122.284358,4.055641,4.055641,126.893957,9.48e-05,6.4
