epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
56,-1.017885,-1.018759,55.703810,-0.828732,-0.828843,71.151217,9.92e-05,6.9
57,-1.019435,-1.020314,55.381885,-0.826374,-0.826498,70.567676,9.92e-05,5.9
58,-1.009279,-1.011310,56.043681,-0.789801,-0.789928,73.110968,9.92e-05,6.6
59,-1.026268,-1.028651,54.991750,-0.816258,-0.816340,69.385110,9.91e-05,5.9
60,-1.016965,-1.017601,55.425201,-0.821447,-0.821514,68.958330,9.91e-05,6.0
61,-1.030568,-1.031264,54.566129,-0.816296,-0.816380,71.242142,9.91e-05,6.3
62,-1.023784,-1.024454,54.678786,-0.810728,-0.810801,70.172874,9.91e-05,6.3
63,-1.033449,-1.034483,54.389237,-0.817381,-0.817446,70.446281,9.90e-05,6.4
64,-1.030701,-1.031274,54.693882,-0.810293,-0.810353,69.574043,9.90e-05,6.2
65,-1.033189,-1.034201,54.586533,-0.821056,-0.821137,69.159407,9.90e-05,5.8
66,-1.048801,-1.049505,53.433032,-0.833457,-0.833516,69.010827,9.89e-05,5.7
67,-1.039572,-1.040420,54.294728,-0.849643,-0.849723,67.112089,9.89e-05,6.0
