epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
173,1.497003,1.496004,8.066888,1.905482,1.904509,10.787053,7.33e-05,9.6
174,1.629436,1.628021,8.634758,1.454393,1.454199,5.310052,7.30e-05,9.3
175,1.534185,1.532744,7.877073,1.502529,1.502334,6.465196,7.27e-05,9.4
176,1.477400,1.475965,7.711426,1.699637,1.698719,6.620074,7.24e-05,9.3
177,1.678101,1.677101,8.446506,1.736950,1.736070,6.687736,7.21e-05,9.6
178,1.555627,1.553766,7.782444,1.168674,1.168555,5.245552,7.19e-05,9.3
179,1.512382,1.506705,7.711779,1.260407,1.259254,6.283254,7.16e-05,9.4
180,1.449128,1.447211,7.292100,1.140330,1.139972,4.993464,7.13e-05,9.5
181,1.588230,1.586468,8.189678,1.193168,1.191645,5.010619,7.10e-05,9.6
182,1.453913,1.450475,7.287649,1.346762,1.335981,6.690351,7.07e-05,9.2
183,1.515482,1.514240,8.025027,1.149036,1.148968,5.357202,7.04e-05,9.2
184,1.486135,1.485148,7.374742,1.267062,1.266874,5.358448,7.01e-05,9.2
185,1.496460,1.494789,7.583248,1.260890,1.260720,5.939670,6.99e-05,9.4
186,1.448410,1.446895,7.439806,1.151015,1.150713,5.047427,6.96e-05,9.3
187,1.473828,1.472711,7.251093,1.433398,1.431400,4.638437,6.93e-05,9.3
188,1.432949,1.430137,7.462907,1.771507,1.770888,11.805011,6.90e-05,9.2
189,1.533627,1.532214,7.984945,1.292406,1.292285,5.464604,6.87e-05,9.3
190,1.453075,1.449773,7.258910,1.628803,1.628066,8.478343,6.84e-05,9.2
191,1.485100,1.484279,7.086679,1.377688,1.377433,5.068006,6.81e-05,9.2
192,1.473188,1.471846,7.417186,1.436990,1.436427,7.717671,6.78e-05,9.7
193,1.472975,1.471561,7.521526,1.185448,1.185336,5.762266,6.75e-05,9.5
194,1.602979,1.601391,7.976746,1.649566,1.647557,3.844509,6.72e-05,9.2
195,1.380183,1.378507,7.083159,1.199756,1.199509,5.713923,6.69e-05,9.3
196,1.376440,1.375182,7.100947,1.261859,1.261676,5.892847,6.66e-05,9.4
197,1.421026,1.419971,7.138537,1.324056,1.323700,6.434816,6.63e-05,9.5
198,1.540989,1.537321,8.101260,1.300119,1.292722,7.162834,6.60e-05,9.5
199,1.451795,1.450375,7.139336,1.325370,1.325281,7.042536,6.57e-05,9.3
200,1.459430,1.458517,7.384717,2.257888,2.257771,13.645329,6.55e-05,9.5
201,1.438871,1.438017,7.247422,1.197614,1.197398,5.940585,6.52e-05,9.3
202,1.479314,1.478547,7.338948,1.139741,1.139696,5.400072,6.49e-05,9.5
203,1.479837,1.478709,7.101870,1.179443,1.178381,5.642281,6.46e-05,9.3
204,1.407631,1.406245,6.998342,1.255532,1.255458,5.810263,6.43e-05,9.3
205,1.399355,1.398509,7.155818,1.445248,1.444932,5.756572,6.39e-05,9.6
206,1.351109,1.349804,6.938959,1.144525,1.144376,5.481948,6.36e-05,9.3
207,1.436708,1.435108,7.272208,2.520375,2.518720,15.052058,6.33e-05,9.6
208,1.350069,1.349030,6.951557,1.030890,1.030724,4.342937,6.30e-05,9.5
209,1.409895,1.408997,7.149154,1.060020,1.055808,4.590044,6.27e-05,9.3
210,1.346820,1.346144,6.836777,1.132422,1.132333,4.079581,6.24e-05,9.5
211,1.340869,1.339100,6.900407,1.314719,1.314141,5.537636,6.21e-05,9.2
212,1.310172,1.309283,6.793560,1.488726,1.488541,6.007125,6.18e-05,9.3
213,1.373751,1.372566,7.055726,1.554948,1.554900,4.782433,6.15e-05,9.2
214,1.387921,1.386294,6.789151,1.104339,1.100768,5.093680,6.12e-05,9.2
215,1.348970,1.348277,6.742125,1.150962,1.150790,4.271999,6.09e-05,9.6
216,1.328684,1.326744,6.993095,1.035031,1.034847,4.273315,6.06e-05,9.3
217,1.305339,1.304967,6.698020,1.008289,1.008219,4.161848,6.03e-05,9.2
218,1.416156,1.415733,7.076747,1.204955,1.203720,4.963328,6.00e-05,9.7
219,1.410484,1.409096,7.043127,1.191530,1.173611,6.417568,5.97e-05,10.0
220,1.340498,1.338637,6.932107,1.186977,1.186839,5.610149,5.94e-05,9.2
221,1.375939,1.375412,6.731804,1.546434,1.543489,5.290610,5.91e-05,9.1
222,1.327308,1.326354,6.753533,1.542137,1.542046,8.360089,5.88e-05,9.6
223,1.347858,1.347411,6.646344,1.068411,1.068239,4.838597,5.84e-05,9.5
224,1.398674,1.396077,6.875526,1.110445,1.109884,5.184100,5.81e-05,9.2
225,1.330932,1.330300,6.607184,1.223907,1.223826,4.277983,5.78e-05,9.3
226,1.343331,1.342892,6.548827,1.308425,1.308339,6.128061,5.75e-05,9.4
227,1.281127,1.280246,6.685494,1.280110,1.278000,5.226678,5.72e-05,9.3
228,1.278420,1.277553,6.549185,1.063083,1.062843,4.919937,5.69e-05,9.4
229,1.356361,1.354647,6.956845,1.125899,1.125785,4.877230,5.66e-05,9.3
230,1.382981,1.382471,6.911871,1.069436,1.069349,4.285482,5.63e-05,9.3
231,1.349045,1.347936,6.747210,1.110867,1.110668,4.707725,5.60e-05,9.2
232,1.247807,1.247347,6.320553,1.097476,1.097417,4.718928,5.56e-05,9.3
233,1.289112,1.288705,6.577519,0.960024,0.959230,4.028366,5.53e-05,9.2
234,1.244039,1.243362,6.498511,1.297577,1.296785,7.071034,5.50e-05,9.6
235,1.274272,1.273569,6.249151,1.498784,1.498709,4.273626,5.47e-05,9.3
236,1.332836,1.331616,6.565011,1.184283,1.183991,5.235782,5.44e-05,9.3
237,1.281509,1.280985,6.257053,1.059778,1.059362,4.367458,5.41e-05,9.3
238,1.252154,1.251588,6.471196,1.103950,1.103491,4.747224,5.38e-05,9.3
239,1.257251,1.256873,6.446643,1.124938,1.124647,4.422076,5.35e-05,9.3
